PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617531;1.429847;
2y;6m;0.005796;0.000000;-0.441786;1.172213;
2y;9m;0.005580;0.000000;-0.182213;0.899206;
2y;1y;0.006394;0.041370;0.169161;0.806961;
2y;2y;0.006057;0.000000;0.010069;0.997771;
2y;5y;0.031362;0.380890;0.079556;0.371216;
2y;10y;0.022712;0.328932;-0.055708;0.265394;
5y;3m;0.006417;0.000000;0.347181;0.505420;
5y;6m;0.010795;0.111158;0.322251;0.455061;
5y;9m;0.014286;0.173518;0.247263;0.423364;
5y;1y;0.017194;0.212290;0.279257;0.382984;
5y;2y;0.041026;0.422691;-0.050890;0.375532;
5y;5y;0.027469;0.345330;-0.005954;0.313708;
5y;10y;0.020492;0.311135;-0.103014;0.311216;
10y;3m;0.019480;0.238613;-0.139021;0.616438;
10y;6m;0.048821;0.475795;-0.255004;0.647703;
10y;9m;0.046958;0.466395;-0.266146;0.593014;
10y;1y;0.038281;0.409097;-0.254194;0.492095;
10y;2y;0.023676;0.281468;-0.120115;0.370024;
10y;5y;0.023390;0.310693;-0.075597;0.349686;
10y;10y;0.023431;0.343332;-0.104906;0.300192;
15y;3m;0.032180;0.372197;-0.463100;0.688575;
15y;6m;0.043467;0.448158;-0.414830;0.614837;
15y;9m;0.026532;0.315031;-0.277035;0.491799;
15y;1y;0.033496;0.377633;-0.277912;0.458760;
15y;2y;0.022918;0.279396;-0.142388;0.406094;
15y;5y;0.039097;0.470321;-0.176479;0.401351;
15y;10y;0.023125;0.354191;-0.077770;0.258090;
30y;3m;0.042204;0.432478;-0.468314;0.709068;
30y;6m;0.049221;0.470907;-0.413751;0.633981;
30y;9m;0.044367;0.445321;-0.374228;0.565209;
30y;1y;0.026007;0.298097;-0.302946;0.456650;
30y;2y;0.042283;0.437656;-0.290657;0.443106;
30y;5y;0.043920;0.489794;-0.223311;0.411163;
30y;10y;0.033613;0.458178;-0.164291;0.278276;
3y9m;2y2m;0.225202;0.864584;0.195881;0.513377;
